Cliente ID,Edad,Genero,Item Comprado,Categoria,Cantidad de Compra (USD),Ubicacion,Tamaño,Color,Temporada,Calificacion de Reviews,Status de Suscripcion,Tipo de Envio,Descuento Aplicado ,Promocion Usada,Compras Anteriores,Metodo de Pago,Frecuencia de Compras
1,55,Masculino,Blusa,Vestimenta,53,Kentucky,L,Gris,Invierno,3.1,Si,Express,Si,Si,14,Venmo,Quincena
2,19,Masculino,Sueter,Vestimenta,64,Maine,L,Maroon,Invierno,3.1,Si,Express,Si,Si,2,Efectivo,Quincena
3,50,Masculino,Jeans,Vestimenta,73,Massachusetts,S,Maroon,Primavera,3.1,Si,Envio Gratis,Si,Si,23,Tarjeta de Credito,Semanalmente
4,21,Masculino,Sandalias,Calzado,90,Rhode Island,M,Maroon,Primavera,3.5,Si,Envio Dia Siguiente,Si,Si,49,PayPal,Semanalmente
5,45,Masculino,Blusa,Vestimenta,49,Oregon,M,Turquesa,Primavera,2.7,Si,Envio Gratis,Si,Si,31,PayPal,Anualmente
6,46,Masculino,Tennis,Calzado,20,Wyoming,M,Blanco,Verano,2.9,Si,Standard,Si,Si,14,Venmo,Semanalmente
7,63,Masculino,Camiseta,Vestimenta,85,Montana,M,Gris,Otoño,3.2,Si,Envio Gratis,Si,Si,49,Efectivo,Trimestral
8,27,Masculino,Shorts,Vestimenta,34,Louisiana,L,Charcoal,Invierno,3.2,Si,Envio Gratis,Si,Si,19,Tarjeta de Credito,Semanalmente
9,26,Masculino,Abrigo,Ropa exterior,97,West Virginia,L,Plateado,Verano,2.6,Si,Express,Si,Si,8,Venmo,Anualmente
10,57,Masculino,Bolsa,Accesorios,31,Missouri,M,Rosa,Primavera,4.8,Si,Envio 2-Dias,Si,Si,4,Efectivo,Trimestral
11,53,Masculino,Zapatos,Calzado,34,Arkansas,L,Morado,Otoño,4.1,Si,Recojer en Tienda,Si,Si,26,Transferencia Bancaria ,Cada 2 semanas
12,30,Masculino,Shorts,Vestimenta,68,Hawaii,S,Olive,Invierno,4.9,Si,Recojer en Tienda,Si,Si,10,Transferencia Bancaria ,Quincena
13,61,Masculino,Abrigo,Ropa exterior,72,Delaware,M,Dorado,Invierno,4.5,Si,Express,Si,Si,37,Venmo,Quincena
14,65,Masculino,Vestido,Vestimenta,51,New Hampshire,M,Violeta,Primavera,4.7,Si,Express,Si,Si,31,PayPal,Semanalmente
15,64,Masculino,Abrigo,Ropa exterior,53,New York,L,Teal,Invierno,4.7,Si,Envio Gratis,Si,Si,34,Tarjeta de Debito,Semanalmente
16,64,Masculino,Falda,Vestimenta,81,Rhode Island,M,Teal,Invierno,2.8,Si,Recojer en Tienda,Si,Si,8,PayPal,Mensualmente
17,25,Masculino,Lentes de sol,Accesorios,36,Alabama,S,Gris,Primavera,4.1,Si,Envio Dia Siguiente,Si,Si,44,Tarjeta de Debito,Cada 2 semanas
